Link,ID,Date,Name,price,condition,vin,cyliners,drive,fuel,odometer,paint,size,title,transmision,type
https://orangecounty.craigslist.org/cto/d/laguna-niguel-mercedes-350/6792109426.html,6792109426,2019-01-10 20:28,2012 Mercedes Benz E 350,15500, excellent,, 6 cylinders, rwd, gas, 83000, white, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-2008-lexus-rx-350/6792100597.html,6792100597,2019-01-10 20:02,2008 lexus rx 350,10000, like new,, 6 cylinders,, gas, 147,, full-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/dana-point-1985-mercedes-benz-300d/6773738923.html,6773738923,2018-12-15 17:36,1985 Mercedes Benz 300d,9800, excellent,, 6 cylinders, rwd, diesel, 164000, white, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-volvo-xc-70-awd/6773744846.html,6773744846,2018-12-15 17:49,2004 volvo v70 xc awd,5900, like new, YV1SZ59H341137271, 5 cylinders, rwd, gas, 117000, blue, full-size, clean, automatic, wagon
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2014-explorer-sport/6791731141.html,6791731141,2019-01-10 11:34,2014 ford explorer sport,25750, excellent, 1FM5K8GT1EGA90591, 6 cylinders, 4wd, gas, 48500, white, full-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/dana-point-2010-cts-built-motor/6791729541.html,6791729541,2019-01-10 11:33,2010 cadillac cts-v,28000, good,, 8 cylinders, rwd, gas, 98700, black,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-hummer-h2/6777896128.html,6777896128,2018-12-21 10:27,2005 Hummer H2,15500,,,,, gas, 167500,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-toyota-scion-tc-2007/6791550653.html,6791550653,2019-01-10 08:47,2007 Toyota Scion tC,5695, excellent, JTKDE177270189975, 4 cylinders, fwd, gas, 92000, grey, compact, clean, manual, coupe
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2007-suburban-ltz/6791320026.html,6791320026,2019-01-09 22:26,2007 Chevrolet Suburban,5500, fair, 3GNFK16347G110414, 8 cylinders, 4wd, gas, 151637, black,, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-1995-mercedes-benz/6791299051.html,6791299051,2019-01-09 20:59,1995 Mercedes Benz SL 500,8000, excellent,,,, gas, 122000,,, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/dana-point-1994-dodge-ram-2500-pickup/6791240378.html,6791240378,2019-01-09 18:31,1994 Dodge Ram 2500,5500, fair, 1B7KC26C8RS631304, 6 cylinders, rwd, diesel, 112094, grey,, clean, manual, pickup
https://orangecounty.craigslist.org/cto/d/laguna-niguel-1968-porsche-912/6791061988.html,6791061988,2019-01-09 14:12,1968 Porsche 912,45000, good,, 4 cylinders, rwd, gas, 112000, green, compact, clean, manual, coupe
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2013-bmw-3-series-328i/6770567712.html,6770567712,2018-12-11 16:38,2013 bmw 3 series 328i,10500, excellent,, 4 cylinders, rwd, gas, 98400, grey, compact, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-2003-ford-expedition/6781865392.html,6781865392,2018-12-28 08:38,2003 ford,3000, good,, 8 cylinders, fwd, gas, 147000, black, full-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2013-audi-a4-20t-quattro/6790715165.html,6790715165,2019-01-09 08:34,2013 Audi A4 2.0T Quattro Tiptronic,13599, excellent, WAUBFAFL4DN022572, 4 cylinders, 4wd, gas, 74553, white, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/aliso-viejo-2012-lexus-es350/6790475074.html,6790475074,2019-01-08 21:02,2012 Lexus ES350,18995, like new,, 6 cylinders, fwd, gas, 33800, black, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/kia-soul/6790455632.html,6790455632,2019-01-08 20:05,2015 Kia Soul,8250,,, 4 cylinders, fwd, gas, 49000,,, clean, manual,
https://inlandempire.craigslist.org/cto/d/kia-soul/6790455522.html,6790455522,2019-01-08 20:05,2015 Kia Soul,8250,,, 4 cylinders, fwd, gas, 49000,,, clean, manual, other
https://losangeles.craigslist.org/lgb/cto/d/kia-soul/6790455404.html,6790455404,2019-01-08 20:04,2015 Kia Soul,8250,,, 4 cylinders, fwd, gas, 49000,,, clean, manual,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2003-mini-cooper/6790427663.html,6790427663,2019-01-08 18:58,2003 mini cooper s,3800, good,, 4 cylinders, fwd, gas, 145000, grey, compact, clean, manual, coupe
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2003-bmw-325i/6790415609.html,6790415609,2019-01-08 18:33,2003 bmw 325i,3200, excellent, WBAET37483NJ35982, 6 cylinders, rwd, gas, 140000, grey, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-1957-ford-custom/6790317641.html,6790317641,2019-01-08 15:54,1957 Ford 2D,30500, excellent, B7KG168957, 8 cylinders, rwd, gas, 6225, red, full-size, clean, automatic, coupe
